gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,115.1,17.0,1.4,14.3,null
002,92.0,20.9,3.0,15.5,null
003,86.8,22.7,4.8,17.5,null
004,92.0,26.8,6.9,20.9,null
005,94.0,32.2,9.3,24.7,null
006,111.0,30.0,11.7,23.4,null
007,90.3,38.7,14.6,29.4,null
008,84.8,42.9,18.0,33.9,null
009,127.2,52.4,21.9,38.9,null
010,162.3,53.3,26.0,41.0,null
011,162.3,51.0,30.4,40.0,null
012,148.2,51.4,34.4,40.4,null
013,173.5,52.2,38.5,40.4,null
014,273.3,53.1,42.6,40.9,null
015,190.5,55.3,47.0,44.1,null
016,338.4,59.9,51.6,45.5,null
017,266.8,64.2,56.8,51.8,null
018,251.9,61.6,61.7,49.6,null
019,249.7,66.0,66.9,51.6,null
020,238.8,63.1,72.0,50.7,null
021,275.4,62.4,77.4,50.0,null
022,272.7,62.0,82.4,49.3,null
023,258.3,62.9,87.3,49.5,null
024,314.0,64.4,92.5,52.0,null
025,218.7,58.7,97.1,46.0,null
026,224.0,62.3,102.2,50.4,null
027,248.3,61.7,107.2,49.6,null
028,253.6,61.5,112.1,49.6,null
029,238.5,56.6,116.9,47.2,null
030,294.0,90.1,125.1,82.8,null
031,312.6,123.3,136.5,108.6,null
032,355.8,127.3,147.7,111.6,null
033,347.2,131.8,159.3,116.5,null
034,316.0,131.8,170.3,109.3,null
035,346.6,130.4,181.4,111.2,null
036,315.7,124.0,192.1,106.9,null
037,313.0,127.2,203.1,110.3,null
038,344.3,126.0,214.0,108.7,null
039,357.0,129.5,225.2,111.9,null
040,283.2,128.4,236.3,110.4,null
041,309.6,124.6,247.5,105.8,null
042,311.6,125.0,258.2,107.5,null
043,321.3,130.7,269.3,110.3,null
044,319.3,130.5,280.8,115.3,null
045,280.5,123.1,292.3,114.5,null
046,282.3,125.8,304.0,117.6,null
047,355.7,129.2,315.1,110.6,null
048,352.1,122.4,325.5,104.1,null
049,302.8,120.1,337.2,116.8,null
050,286.1,122.3,349.6,123.6,null
051,317.3,137.8,363.7,132.7,null
052,252.5,120.1,376.8,131.4,null
053,330.7,126.6,390.0,131.9,null
054,324.5,129.9,403.7,136.5,null
055,332.2,127.0,416.9,131.6,null
056,303.2,128.1,430.8,138.8,null
057,304.9,119.7,443.9,131.1,null
058,285.5,126.2,458.8,149.5,null
059,367.2,132.3,475.6,167.9,null
060,311.2,128.4,490.2,145.9,null
061,323.3,122.7,504.6,133.1,null
062,292.3,126.6,518.3,136.9,null
063,311.6,129.4,531.8,134.3,null
064,314.4,119.2,544.1,122.9,null
065,305.2,128.8,557.1,130.0,null
066,317.0,120.9,569.8,126.4,null
067,307.3,129.0,583.1,133.8,null
068,312.7,124.1,596.0,128.8,null
069,329.6,125.7,609.3,132.7,null
070,351.1,128.6,622.5,131.5,null
071,254.9,120.9,636.8,132.0,null
072,299.8,127.2,651.9,150.9,null
073,357.0,127.7,667.4,154.9,null
074,322.0,134.5,683.6,162.0,null
075,324.7,125.3,698.2,146.0,null
076,292.3,126.4,713.3,151.4,null
077,296.0,128.9,728.0,146.9,null
078,327.4,121.9,742.4,143.2,null
079,303.8,128.0,756.3,139.0,null
080,310.8,127.5,771.8,155.3,null
081,315.2,117.3,787.6,145.0,null
082,333.9,115.8,801.4,137.4,null
083,336.8,126.7,816.2,147.8,null
084,430.9,139.8,830.8,145.7,null
085,312.5,130.1,844.6,138.4,null
086,263.4,124.4,857.5,128.3,null
087,331.1,135.3,872.1,146.2,null
088,326.2,121.6,884.7,125.8,null
089,326.9,126.3,900.0,152.6,null
090,253.1,123.9,914.0,139.8,null
091,389.9,121.5,928.5,130.3,null
092,305.7,121.3,941.5,130.2,null
093,314.5,130.2,955.9,143.6,null
094,300.2,124.5,969.8,139.4,null
095,293.8,124.0,983.7,138.4,null
096,355.0,129.6,997.8,140.8,null
097,360.9,125.5,1011.3,135.3,null
098,350.9,122.0,1024.5,132.1,null
099,307.6,122.3,1038.2,137.0,null
100,346.4,127.8,1052.8,145.4,null
101,336.6,120.6,1068.9,144.2,null
102,313.5,125.6,1084.9,159.0,null
103,324.0,131.7,1100.6,157.5,null
104,327.4,127.8,1114.9,142.9,null
105,323.0,122.8,1128.8,138.3,null
106,314.3,122.5,1142.6,138.6,null
