gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,67.3,19.9,0.0,2.3,null
002,70.4,23.6,0.1,2.7,null
003,487.1,82.5,0.2,10.5,[ 0.81220933 -0.23987029  2.08434709  0.9247238 ]
004,495.5,163.5,0.4,19.0,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
005,489.6,359.5,0.8,41.0,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
006,492.2,441.6,1.2,41.6,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
007,491.9,440.4,1.7,50.2,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
008,491.2,438.9,2.2,47.5,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
009,492.5,439.8,2.6,48.3,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
010,493.8,454.6,3.1,45.9,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
011,496.1,446.0,3.7,58.3,"[0.8122093338117279, -1.1983399417838647, 0.39834087035738747, 0.9247238048501824]"
012,492.0,429.8,4.1,44.8,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
013,493.3,420.4,4.6,42.0,"[0.8122093338117279, -0.2398702949175013, 0.39834087035738747, 0.9247238048501824]"
014,492.9,434.2,4.9,37.0,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
015,488.8,460.0,5.3,39.5,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
016,492.5,451.7,5.7,37.1,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
017,492.8,440.3,6.1,37.9,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
018,492.5,438.7,6.5,38.8,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
019,492.8,440.2,6.9,40.1,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
020,493.8,438.2,7.3,40.6,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
021,493.1,441.8,7.7,38.6,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
022,493.0,488.2,8.1,44.7,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
023,489.8,426.2,8.5,36.3,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
024,492.3,397.3,8.8,33.4,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
025,490.8,441.6,9.2,35.2,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
026,491.8,437.9,9.5,34.6,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
027,491.6,483.9,9.9,40.9,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
028,494.6,440.0,10.3,38.8,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
029,492.2,392.9,10.6,31.0,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
030,490.7,439.3,11.0,34.5,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
031,493.4,440.8,11.3,33.7,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
032,491.7,441.4,11.7,36.9,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
033,491.0,443.5,12.1,40.1,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
034,492.0,439.1,12.5,41.2,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
035,494.5,390.7,12.9,35.7,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
036,490.4,438.6,13.2,37.2,"[0.8122093338117279, -0.2398702949175013, 2.0843470886799635, 0.9247238048501824]"
037,493.6,487.0,13.7,42.8,[1.43865306 0.47100253 1.76046723 1.25054896]
038,495.5,441.2,14.0,38.3,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
039,495.4,429.4,14.4,37.0,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
040,492.6,443.7,14.8,39.4,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
041,496.5,441.8,15.2,41.6,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
042,495.8,394.8,15.6,39.5,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
043,494.4,443.6,16.0,36.9,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
044,495.3,414.9,16.4,40.9,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
045,494.7,444.9,16.8,40.1,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
046,496.6,449.1,17.2,37.3,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
047,496.1,446.3,17.5,36.3,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
048,494.8,444.5,17.9,36.7,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
049,495.6,445.1,18.3,38.7,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
050,496.0,449.0,18.7,39.0,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
051,495.6,445.3,19.0,35.6,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
052,497.0,467.1,19.4,39.5,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
053,495.9,445.0,19.8,38.5,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
054,496.5,348.4,20.1,30.1,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
055,495.0,299.7,20.4,30.0,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
056,497.4,397.3,20.8,38.1,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
057,495.9,443.5,21.2,41.9,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
058,496.6,447.0,21.7,42.3,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
059,497.7,445.3,22.1,40.5,"[0.2667668216050058, 1.4477668994892328, 0.633885465255488, 1.7698703088555467]"
060,495.5,402.7,22.4,35.6,"[1.4386530566088853, 0.47100252846659885, 1.760467230588805, 1.2505489644724994]"
061,497.2,446.0,22.8,38.2,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
062,498.7,446.7,23.2,38.5,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
063,498.2,446.1,23.6,38.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
064,498.4,404.7,23.9,36.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
065,498.3,461.3,24.3,39.3,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
066,498.6,413.7,24.7,34.7,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
067,498.9,387.5,25.0,33.0,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
068,498.4,436.1,25.4,38.9,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
069,498.4,437.3,25.8,39.9,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
070,498.7,421.0,26.2,40.8,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
071,498.7,449.8,26.6,40.4,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
072,498.9,449.4,27.0,40.0,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
073,498.6,400.2,27.4,33.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
074,498.6,396.6,27.7,34.1,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
075,498.9,409.5,28.0,33.1,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
076,498.2,465.2,28.4,36.9,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
077,498.8,452.8,28.8,39.2,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
078,498.6,385.6,29.2,37.8,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
079,498.4,366.2,29.5,35.3,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
080,498.7,449.2,29.9,40.0,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
081,498.8,451.1,30.3,37.7,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
082,498.9,448.9,30.7,36.8,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
083,498.7,448.7,31.1,42.8,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
084,498.8,449.4,31.6,49.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
085,498.6,434.8,32.1,47.2,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
086,498.6,437.6,32.5,44.2,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
087,498.8,437.9,32.9,42.5,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
088,498.5,449.3,33.4,44.4,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
089,499.0,452.1,34.0,56.1,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
090,498.9,449.1,34.5,49.5,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
091,498.8,446.3,34.9,43.9,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
092,498.8,442.8,35.3,44.7,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
093,498.1,448.8,35.8,42.9,"[1.4386530566088853, 0.6841921507502702, 0.633885465255488, 1.370224522970795]"
094,498.5,400.1,36.2,38.3,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
095,499.0,359.0,36.6,41.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
096,498.4,448.8,37.3,70.8,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
097,498.7,442.8,38.0,68.9,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
098,498.6,440.9,38.6,66.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
099,498.9,462.5,39.3,66.6,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
100,498.6,449.1,40.0,70.2,"[1.4386530566088853, 1.4477668994892328, 0.633885465255488, 1.2505489644724994]"
