gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,371.0,86.6,0.0,9.7,null
002,412.1,159.8,0.1,17.3,null
003,393.3,285.9,0.3,35.4,null
004,435.9,275.4,0.5,32.8,null
005,385.9,278.8,0.6,33.6,null
006,431.8,304.1,0.8,35.6,null
007,478.7,297.6,1.0,37.0,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
008,454.1,396.5,1.3,49.5,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.131743914543627]"
009,406.5,344.3,1.5,48.3,null
010,402.9,358.0,1.7,44.0,null
011,423.3,390.3,2.0,44.2,null
012,443.2,419.7,2.2,48.4,null
013,471.5,383.8,2.4,45.1,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
014,424.3,369.6,2.6,43.3,null
015,447.1,382.2,2.9,44.4,null
016,414.1,393.4,3.1,44.5,null
017,407.4,387.0,3.3,52.4,null
018,429.5,374.2,3.6,49.0,null
019,445.8,403.0,3.8,45.7,null
020,441.0,406.8,4.1,46.8,null
021,439.3,398.6,4.3,45.6,null
022,415.9,396.0,4.5,43.0,null
023,429.0,405.4,4.7,43.7,null
024,456.5,410.3,4.9,43.8,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
025,414.4,372.3,5.2,42.7,null
026,433.3,397.0,5.4,47.6,null
027,441.7,412.3,5.6,42.8,null
028,438.0,388.4,5.8,41.7,null
029,414.0,374.0,6.0,43.0,null
030,442.9,409.6,6.3,45.3,null
031,474.6,428.8,6.5,50.1,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
032,437.5,380.5,6.8,48.4,null
033,459.1,392.5,7.0,53.8,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
034,476.7,413.5,7.3,49.4,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
035,436.0,398.1,7.5,47.2,null
036,407.5,375.1,7.7,43.5,null
037,420.2,371.6,7.9,40.2,null
038,458.1,394.8,8.2,45.3,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
039,461.2,355.8,8.4,40.9,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
040,384.0,352.4,8.6,43.4,null
041,392.6,362.6,8.8,46.5,null
042,395.5,354.5,9.0,44.4,null
043,430.4,396.6,9.3,45.3,null
044,414.0,365.4,9.5,43.6,null
045,453.7,407.1,9.7,46.3,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
046,438.7,388.9,9.9,41.3,null
047,465.3,398.2,10.2,48.6,"[-0.20797289250725878, -0.5492432972058472, 1.2811464038117555, 1.5405549828737417]"
048,398.1,373.7,10.4,40.2,null
049,438.7,386.9,10.6,49.1,null
050,427.4,363.7,10.9,60.2,null
